Month,Obs #,name,E-mail,Nationality,User Name,Tel,Address,Job Title,DoB,Gender,Marital Status,Education Level,Complain,Suggestion,FeedBack
Feb-21,11,X11,X11,Kuwaiti,X11,555555,"Kuwait, Alfarwania",Business Man,10-Jun,Male,Married,Elementry School,You will be expected to report for duty wearing your assigned uniform.,Did the director say anything against your suggestion?,Demonstrates “team player” behavior views individual success as imperative to group success.
Feb-21,12,X12,X12,Kuwaiti,X12,555555,"Kuwait, Alfarwania",Other,11-Jun,Male,Widowed,Middle School,"You must refrain from loafing, roaming, loitering, or leaving your workstation without proper notification.",Might I make a modest suggestion?,"Direct, straightforward, honest and polite."
Feb-21,13,X13,X13,Kuwaiti,X13,555555,"Kuwait, Alfarwania",Professional,12-Jun,Female,Single,Elementry School,You will be expected to refrain from conducting personal business on University time.,We are in the process of reviewing your suggestion.,"Always cordial and willing to help coworkers, students, and clients."
Feb-21,14,X14,X14,Kuwaiti,X14,555555,"Kuwait, Alfarwania",Engineering,13-Jun,Female,Single,Middle School,You will be expected to make sure your office/building is secure when you leave for the day.,His suggestion is in a sense workable.,"Enthusiastic, energetic and displays positive behavior."
Feb-21,15,X15,X15,Kuwaiti,X15,555555,"Kuwait, Alfarwania",Education,14-Jun,Female,Single,Two year College,You will be expected to: Arrive at work at 7:45 a.m. and depart at 4:30p.m. Take a 45-minute lunch break from 11:45 a.m. to 12:30 p.m. And take one fifteen-minute work break in the morning and one fifteen-minute work break in the afternoon.,He made an indecent suggestion to my wife.,"Usually needs direct supervision, even for mundane and everyday tasks."
Feb-21,16,X16,X16,Non Kuwaiti,X16,555555,"Kuwait, AlJahra",Medical,5-Apr,Male,Sperated,High School,You will be expected to notify the Director or Assistant Director when leaving your work station during regular work hours as well as sign in and out on the checkout board.,I want to offer a suggestion.,Is not able to think independently or to deal with unexpected occurrences.
Feb-21,17,X17,X17,Non Kuwaiti,X17,555555,"Kuwait, AlJahra",Administrator,6-Apr,Female,Divorce,Non Educated,You will be expected to request leave in advance at times that do not hinder office operation.,He made the suggestion that we go by.,Gets flustered in unusual situations.
Feb-21,18,X18,X18,Non Kuwaiti,X18,555555,"Kuwait, AlJahra",Lower Management,7-Apr,Male,Divorce,Higher Education,You will be expected to perform office security procedures before leaving at the end of the day.,He dismissed her suggestion out of hand.,Does not always make the best decisions to fit the situation.
Feb-21,19,X19,X19,Non Kuwaiti,X19,555555,"Kuwait, AlJahra",Middle Management,8-Apr,Female,Widowed,College,You will be expected to reduce your absenteeism rate. *,Have you got an alternative suggestion?,Usually adjusts well to changes in the work place.
Feb-21,20,X20,X20,Non Kuwaiti,X20,555555,"Kuwait, AlJahra",Higher Management,9-Apr,Female,Single,College,You will be expected to be more friendly while performing your daily tasks.,Are you agreeable to my suggestion?,"Maintains good customer service relations, even under stress."
Feb-21,21,X21,X21,Non Kuwaiti,X21,555555,"Kuwait, Mobark Alkabeer",Lower Management,17-Sep,Male,Married,College,You will be expected to refrain from gossiping with other employees.,Might I make a suggestion?,Looks for ways to streamline procedures to improve efficiency and customer service.
Feb-21,22,X22,X22,Non Kuwaiti,X22,555555,"Kuwait, Mobark Alkabeer",Middle Management,18-Sep,Male,Married,College,You will be expected to assist other areas of the office/department when your work has been completed.,The mayor bucked at the school board's suggestion.,Sets priorities and adjusts them as needed when unexpected situations arise.
Feb-21,23,X23,X23,Non Kuwaiti,X23,555555,"Kuwait, Mobark Alkabeer",Higher Management,19-Sep,Male,Married,Two year College,You will be expected to accept the tasks you are assigned without complaining.,We value your suggestion highly.,"Adapted to new systems and processes well and seeks out training to enhance knowledge, skills and abilities."
Feb-21,24,X24,X24,Non Kuwaiti,X24,555555,"Kuwait, Mobark Alkabeer",Executive,20-Sep,Male,Married,College,You will be expected to observe the University smoking policy. Smoke only in approved areas and put your cigarette butts in ash trays/garbage. Do not throw them on the ground.,You can put forward your suggestion at the meeting.,Always seems to know when to ask questions and when to seek guidance.
Feb-21,25,X25,X25,Non Kuwaiti,X25,555555,"Kuwait, Mobark Alkabeer",Professional,21-Sep,Male,Married,Two year College,You will be expected to work as a team member.,The delegate moved for a reconsideration of the suggestion.,"Reports, forms, memos and correspondence are often completed late or not at all."
Feb-21,26,X26,X26,Non Kuwaiti,X26,555555,"Kuwait, AlAhmadi",Engineering,18-Feb,Male,Widowed,College,"You will be expected to contribute to the work group's overall productivity as appropriate, helping coworkers when possible.",May I present a suggestion?,Uses a condescending tone when talking to others in the office.
Feb-21,27,X27,X27,Non Kuwaiti,X27,555555,"Kuwait, AlAhmadi",Education,19-Feb,Female,Divorce,Two year College,You will be expected to show respect for others at all times.,Someone came out with a most useful suggestion.,The supervisor/department head has received a few complaints about contradictory or bad information being given out by the employee.
Feb-21,28,X28,X28,Non Kuwaiti,X28,555555,"Kuwait, AlAhmadi",Medical,20-Feb,Female,Sperated,Higher Education,You will be expected to share your ideas with other employees.,The suggestion inevitably provoked outrage from student leaders.,Phone messages are often unclear or incomplete.
Feb-21,29,X29,X29,Non Kuwaiti,X29,555555,"Kuwait, AlAhmadi",Administrator,21-Feb,Female,Married,Higher Education,"You will be expected to be courteous to fellow employees, students, and faculty.",Felicity seemed pleased at the suggestion.,"Takes messages, writes correspondence, deals with customers and coworkers with sufficient attention to detail."
Feb-21,30,X30,X30,Non Kuwaiti,X30,555555,"Kuwait, AlAhmadi",Technical,22-Feb,Male,Married,College,"You will be expected to maintain a friendly, helpful, supportive and team-like atmosphere among coworkers.",She firmly rejected the suggestion that she had lied to Parliament.,Reports are accurate and well written using proper grammar and punctuation.
Mar-21,1,X1,X1,Kuwaiti,X1,555555,"Kuwait, Hawalli",Lower Management,15-Aug,Male,Single,Non Educated,You will be expected to refrain from interfering with coworker’s productivity while at work.,I want to make a suggestion.,Students and coworkers feel comfortable coming to this employee with questions and comments.
Mar-21,2,X2,X2,Kuwaiti,X2,555555,"Kuwait, Hawalli",Middle Management,16-Aug,Female,Married,Elementry School,"You will be expected to refrain from ""casually visiting"" with others while at work and to discourage others from ""casually visiting"" with you while at work. This reduces productivity.",His suggestion was greeted with hoots of laughter.,Comes to supervisor/department head with any questions that employee does not know off-hand.
Mar-21,3,X3,X3,Kuwaiti,X3,555555,"Kuwait, Hawalli",Higher Management,17-Aug,Female,Divorce,Middle School,You will be expected to register your vehicle for parking on University property.,He surmised that the suggestion wouldn't find favour.,Always asks questions and seeks guidance when not sure of what to do.
Mar-21,4,X4,X4,Kuwaiti,X4,555555,"Kuwait, Hawalli",Executive,18-Aug,Female,Sperated,High School,You will be expected to follow instructions without complaining or arguing.,This suggestion won't be welcomed at No. 10.,Demonstrates excellent oral and written communication skills.
Mar-21,5,X5,X5,Kuwaiti,X5,555555,"Kuwait, Hawalli",Professional,19-Aug,Female,Widowed,Two year College,"You will be expected to demonstrate respect for coworkers and supervisors (i.e., is not abrupt or rude, does not engage in workplace gossip or conflict, is not demeaning of others, etc.).",They fobbed off our suggestion.,Frequently comes to the wrong conclusions and assumes things.
Mar-21,6,X6,X6,Kuwaiti,X6,555555,"Kuwait, Capital",Engineering,1-May,Female,Single,College,You will be expected to look for ways to streamline office procedures without jeopardizing the accuracy of the overall procedure.,Can I make a suggestion?,"Did not make sure that all subordinates were productive at all times, which is a daily requirement of this job."
Mar-21,7,X7,X7,Kuwaiti,X7,555555,"Kuwait, Capital",Education,2-May,Male,Single,Higher Education,You will be expected to work well with the public.,He balked at making the suggestion.,Needs to develop analytical skills necessary to weigh options and choose the best way to deal with situations.
Mar-21,8,X8,X8,Kuwaiti,X8,555555,"Kuwait, Capital",Medical,3-May,Male,Married,College,You will be expected to look for ways to improve your own job and the jobs of your subordinates.,His suggestion borders on the ridiculous.,Spends too much time focusing on less important aspects of daily job.
Mar-21,9,X9,X9,Kuwaiti,X9,555555,"Kuwait, Capital",Administrator,4-May,Male,Married,College,You will be expected to work without complaining or hesitating when trying new methods or procedures.,The two leaders were flummoxed by the suggestion.,Often offers workable solutions to problems.
Mar-21,10,X10,X10,Kuwaiti,X10,555555,"Kuwait, Capital",Technical,5-May,Male,Married,Two year College,You will be expected to adapt work habits to new or unexpected circumstances. Notify and lead others as appropriate when circumstances change suddenly.,He accused Mrs Moore of making an indecent suggestion.,Uses good judgment in solving problems and working with others.
Mar-21,11,X11,X11,Kuwaiti,X11,555555,"Kuwait, Alfarwania",Business Man,10-Jun,Male,Married,Elementry School,You will be expected to accept and be responsive to constructive criticism without taking it personally.,Did the director say anything against your suggestion?,"Uses PPR ratings in making decisions related to new hires, promotions and merit increases."
Mar-21,12,X12,X12,Kuwaiti,X12,555555,"Kuwait, Alfarwania",Other,11-Jun,Male,Widowed,Middle School,You will be expected to attend technology and computer workshops to improve computer literacy.,Might I make a modest suggestion?,Can zero in on the cause of problems and offer creative solutions.
Mar-21,13,X13,X13,Kuwaiti,X13,555555,"Kuwait, Alfarwania",Professional,12-Jun,Female,Single,Elementry School,You will be expected to be open to changes in office policy or personal goals.,We are in the process of reviewing your suggestion.,Displays strong analytical skills.
Mar-21,14,X14,X14,Kuwaiti,X14,555555,"Kuwait, Alfarwania",Engineering,13-Jun,Female,Single,Middle School,You will be expected to willingly accept the new performance appraisal system.,His suggestion is in a sense workable.,Always offers ideas to solve problems based on good information and sound judgment.
Mar-21,15,X15,X15,Kuwaiti,X15,555555,"Kuwait, Alfarwania",Education,14-Jun,Female,Single,Two year College,You will be expected to be sure your actions are consistent with agency goals.,He made an indecent suggestion to my wife.,Displays initiative and enthusiasm during everyday work.
Mar-21,16,X16,X16,Non Kuwaiti,X16,555555,"Kuwait, AlJahra",Medical,5-Apr,Male,Sperated,High School,You will be expected to present suggestions for changes in policy/procedures in writing to the director.,I want to offer a suggestion.,Conducts research or seeks counsel of experts to gather information needed in making actual decisions.
Mar-21,17,X17,X17,Non Kuwaiti,X17,555555,"Kuwait, AlJahra",Administrator,6-Apr,Female,Divorce,Non Educated,You will be expected to accept and implement decisions regarding changes in policy/procedure without complaining or arguing.,He made the suggestion that we go by.,Frequently rude and impolite.
Mar-21,18,X18,X18,Non Kuwaiti,X18,555555,"Kuwait, AlJahra",Lower Management,7-Apr,Male,Divorce,Higher Education,You will be expected to willingly accept input from others regarding ideas for improvement.,He dismissed her suggestion out of hand.,Demonstrates poor customer relations skills.
Mar-21,19,X19,X19,Non Kuwaiti,X19,555555,"Kuwait, AlJahra",Middle Management,8-Apr,Female,Widowed,College,"You will be expected to answer the phone using the standard greeting, ""Southeastern,[Department name],[Employee Name], How may I help you?""",Have you got an alternative suggestion?,Frequently carries on personal conversations in person or on the phone while clients and customers wait.
Mar-21,20,X20,X20,Non Kuwaiti,X20,555555,"Kuwait, AlJahra",Higher Management,9-Apr,Female,Single,College,You will be expected to answer the phone courteously within 3 rings.,Are you agreeable to my suggestion?,Gets annoyed with clients who ask too many questions.
Mar-21,21,X21,X21,Non Kuwaiti,X21,555555,"Kuwait, Mobark Alkabeer",Lower Management,17-Sep,Male,Married,College,You will be expected to take accurate and detailed phone messages.,Might I make a suggestion?,Frequently forgets to follow through on customer requests.
Mar-21,22,X22,X22,Non Kuwaiti,X22,555555,"Kuwait, Mobark Alkabeer",Middle Management,18-Sep,Male,Married,College,You will be expected to communicate clearly when speaking or writing.,The mayor bucked at the school board's suggestion.,Usually maintains a competent and professional demeanor in dealing with clients and the public.
Mar-21,23,X23,X23,Non Kuwaiti,X23,555555,"Kuwait, Mobark Alkabeer",Higher Management,19-Sep,Male,Married,Two year College,You will be expected to keep your supervisor informed of problems as they develop.,We value your suggestion highly.,Courteous and knowledgeable.
Mar-21,24,X24,X24,Non Kuwaiti,X24,555555,"Kuwait, Mobark Alkabeer",Executive,20-Sep,Male,Married,College,You will be expected to listen carefully and ask questions when needed to clarify requests.,You can put forward your suggestion at the meeting.,Tries to be helpful.
Mar-21,25,X25,X25,Non Kuwaiti,X25,555555,"Kuwait, Mobark Alkabeer",Professional,21-Sep,Male,Married,Two year College,You will be expected to use appropriate communication tools for the situation.,The delegate moved for a reconsideration of the suggestion.,Answers all questions promptly and accurately.
Mar-21,26,X26,X26,Non Kuwaiti,X26,555555,"Kuwait, AlAhmadi",Engineering,18-Feb,Male,Widowed,College,"You will be expected to answer the telephone with a 'smile in your voice,' with energy, and a spirit of helpfulness.",May I present a suggestion?,Forwards any complaints or problems to supervisor immediately.
Mar-21,27,X27,X27,Non Kuwaiti,X27,555555,"Kuwait, AlAhmadi",Education,19-Feb,Female,Divorce,Two year College,You will be expected to improve communication of office policies to all staff.,Someone came out with a most useful suggestion.,Always follows through and finds the answers to any questions and reports back to the customer promptly.
Mar-21,28,X28,X28,Non Kuwaiti,X28,555555,"Kuwait, AlAhmadi",Medical,20-Feb,Female,Sperated,Higher Education,"You will be expected to open, sort and prioritize mail into three categories: urgent, routine, and junk mail.",The suggestion inevitably provoked outrage from student leaders.,Employee has received numerous letters of commendation for excellent customer service.
Mar-21,29,X29,X29,Non Kuwaiti,X29,555555,"Kuwait, AlAhmadi",Administrator,21-Feb,Female,Married,Higher Education,"You will be expected to speak to people clearly and with an appropriate tone of voice, and listen to what they have to say to you.",Felicity seemed pleased at the suggestion.,Has destroyed equipment through misuse during this rating period.
Mar-21,30,X30,X30,Non Kuwaiti,X30,555555,"Kuwait, AlAhmadi",Technical,22-Feb,Male,Married,College,You will be expected to avoid overreacting when calm communication with another person can solve a problem.,She firmly rejected the suggestion that she had lied to Parliament.,Wastes supplies.
Apr-21,1,X1,X1,Kuwaiti,X1,555555,"Kuwait, Hawalli",Lower Management,15-Aug,Male,Single,Non Educated,You will be expected to listen carefully to clients and coworkers. Do not ignore them.,I want to make a suggestion.,Deleted required software in error.
Apr-21,2,X2,X2,Kuwaiti,X2,555555,"Kuwait, Hawalli",Middle Management,16-Aug,Female,Married,Elementry School,"You will be expected to choose your words carefully, speak clearly and respectfully to clients so they can understand you the first time you say something.",His suggestion was greeted with hoots of laughter.,Never services equipment.
Apr-21,3,X3,X3,Kuwaiti,X3,555555,"Kuwait, Hawalli",Higher Management,17-Aug,Female,Divorce,Middle School,"You will be expected to check voice mail regularly and return all messages the same day as received, if possible.",He surmised that the suggestion wouldn't find favour.,Doesn't heed warning messages on equipment.
Apr-21,4,X4,X4,Kuwaiti,X4,555555,"Kuwait, Hawalli",Executive,18-Aug,Female,Sperated,High School,You will be expected to report all accidents or incidents.,This suggestion won't be welcomed at No. 10.,Sometimes forgets to turn equipment off at the end of the day.
Apr-21,5,X5,X5,Kuwaiti,X5,555555,"Kuwait, Hawalli",Professional,19-Aug,Female,Widowed,Two year College,"You will be expected to maintain confidentiality of University, student or employee information.",They fobbed off our suggestion.,Doesn't always get equipment serviced as recommended by the manufacturer.
Apr-21,6,X6,X6,Kuwaiti,X6,555555,"Kuwait, Capital",Engineering,1-May,Female,Single,College,You will be expected to use University bulletin boards for official communications only.,Can I make a suggestion?,Takes good care of equipment and uses supplies efficiently.
Apr-21,7,X7,X7,Kuwaiti,X7,555555,"Kuwait, Capital",Education,2-May,Male,Single,Higher Education,"You will be expected to provide staff with messages, both verbal and written, in a clear and timely fashion.",He balked at making the suggestion.,Turns off and secures all equipment at the end of the shift.
Apr-21,8,X8,X8,Kuwaiti,X8,555555,"Kuwait, Capital",Medical,3-May,Male,Married,College,You will be expected to listen to and allow communicator to complete delivery of message prior to responding or asking questions.,His suggestion borders on the ridiculous.,Quickly learns new software programs.
Apr-21,9,X9,X9,Kuwaiti,X9,555555,"Kuwait, Capital",Administrator,4-May,Male,Married,College,You will be expected to resolve daily problems independently.,The two leaders were flummoxed by the suggestion.,Uses queries and reports to maximize efficiency in the office and find errors.
Apr-21,10,X10,X10,Kuwaiti,X10,555555,"Kuwait, Capital",Technical,5-May,Male,Married,Two year College,You will be expected to refer all questions you cannot answer to the appropriate person.,He accused Mrs Moore of making an indecent suggestion.,Is able to troubleshoot and solves all work related problems quickly and efficiently.
Apr-21,11,X11,X11,Kuwaiti,X11,555555,"Kuwait, Alfarwania",Business Man,10-Jun,Male,Married,Elementry School,"When bringing a problem to your supervisor's attention, be prepared to recommend a possible solution.",Did the director say anything against your suggestion?,Reports problems immediately if to the appropriate personnel.
Apr-21,12,X12,X12,Kuwaiti,X12,555555,"Kuwait, Alfarwania",Other,11-Jun,Male,Widowed,Middle School,You will be expected to work independently to solve problems or seek needed information.,Might I make a modest suggestion?,Work projects have suffered from lack of follow-through.
Apr-21,13,X13,X13,Kuwaiti,X13,555555,"Kuwait, Alfarwania",Professional,12-Jun,Female,Single,Elementry School,"You will be expected to gather all facts before resolving a problem, even if you have to call the parties involved back.",We are in the process of reviewing your suggestion.,Important documentation for projects has been lost or destroyed erroneously.
Apr-21,14,X14,X14,Kuwaiti,X14,555555,"Kuwait, Alfarwania",Engineering,13-Jun,Female,Single,Middle School,You will be expected to make decisions only after getting input from the people who will be affected and weighing all the different issues.,His suggestion is in a sense workable.,Does not plan ahead to meet work deadlines.
Apr-21,15,X15,X15,Kuwaiti,X15,555555,"Kuwait, Alfarwania",Education,14-Jun,Female,Single,Two year College,You will be expected to think more openly about new possibilities. Try new ways of doing things using new technology.,He made an indecent suggestion to my wife.,Does not keep supervisor informed of potential problems as they arise.
Apr-21,16,X16,X16,Non Kuwaiti,X16,555555,"Kuwait, AlJahra",Medical,5-Apr,Male,Sperated,High School,"You will be expected to use good judgment in making decisions regarding routine operating procedures (i.e. assessing crisis situations, scheduling/rescheduling of appointments, handling late arrivals, handling phone messages, etc.).",I want to offer a suggestion.,Project plans are poorly designed.
